Wavelength	Spectrum00000.asd	Spectrum00001.asd	Spectrum00002.asd	Spectrum00003.asd	Spectrum00004.asd	Spectrum00005.asd	Spectrum00006.asd	Spectrum00007.asd	Spectrum00008.asd	Spectrum00009.asd	Spectrum00010.asd	Spectrum00011.asd	Spectrum00012.asd
325	0.14294284026086	0.233745853854002	0.105135134711542	1.32726302904666E-02	8.44802878805847E-02	8.07458178062375E-02	7.72147041445003E-02	6.77670551640513E-02	0.098874839548264	1.73405421897293E-02	6.51884645062736E-02	7.28491369694905E-02	 8.20576429881612E-02 
326	0.144800010832379	0.233134070757195	0.105169704447731	1.31244666927321E-02	8.38929054930558E-02	8.20203305374673E-02	7.43865258747569E-02	6.72522679688733E-02	0.100030127553679	1.87930892324462E-02	6.59506899475766E-02	7.54186242927218E-02	 8.22412095124728E-02 
327	0.144036378133881	0.232423692494884	0.107202415129387	1.61931833522025E-02	8.34026676578213E-02	8.28997031935937E-02	7.51248467820174E-02	7.09006652495316E-02	9.91616208977629E-02	2.02161116020886E-02	6.92385538742326E-02	7.70661703693971E-02	 8.30353719799633E-02 
328	0.143330335976457	0.232511635633915	0.108553542374803	0.017386920097146	0.08465488643885	8.24961566149733E-02	0.075975771511749	7.28622472793053E-02	9.88059268557023E-02	2.04417980976892E-02	7.13049577689117E-02	7.70978553516005E-02	 8.38978648446956E-02 
329	0.143846902304386	0.233572053719421	0.108020683667432	1.58533140377306E-02	8.67470920639932E-02	8.05709492081475E-02	7.60721786991274E-02	7.08024754862659E-02	0.100381205566721	1.94583174967498E-02	0.071251404587299	7.65426611866516E-02	 8.49500784653031E-02 
330	0.142676742801119	0.232255812826865	0.106778776844383	1.45283909754886E-02	8.41968449596533E-02	7.81830293446905E-02	7.44064300410201E-02	6.83513078711734E-02	9.81419949942927E-02	1.77197506340413E-02	7.09092686293752E-02	7.48493809774939E-02	 8.33851806738241E-02 
331	0.140764035682207	0.230819116297178	0.105756441723278	1.41601187289606E-02	8.10827830047911E-02	7.60628850253993E-02	7.25606836808095E-02	6.75382303492966E-02	9.55421517196516E-02	1.71334534470514E-02	7.19109854040112E-02	7.39860225889477E-02	 8.18315924388591E-02 
332	0.140425957005417	0.232134952923991	0.1063051856621	1.37906936737456E-02	8.31632519478895E-02	7.58587872610023E-02	7.21783520119742E-02	6.91797944895564E-02	9.67868368165825E-02	1.74240362206138E-02	7.44307186399065E-02	7.66058567506774E-02	 8.30882199187018E-02 
333	0.140630043834786	0.232663306127146	0.106853182130287	1.41333744377338E-02	8.38485608576552E-02	7.60519732872353E-02	7.25771227683984E-02	6.96329776189087E-02	9.68992929448628E-02	1.79689075783691E-02	7.65239095550321E-02	7.83954336747801E-02	 8.33691510624936E-02 
334	0.140483336509937	0.231810730789397	0.107221701303182	1.52169612008567E-02	0.08206860425477	7.62706228936461E-02	7.30697930708511E-02	6.85272087427382E-02	9.55900584420898E-02	1.87859639113112E-02	7.81083560495511E-02	7.86934938461649E-02	 8.24652058904696E-02 
335	0.140277594707619	0.230294789441328	0.107141329992957	1.58968453965358E-02	8.10917055406064E-02	7.60314012275947E-02	0.071952014233931	6.72422954026851E-02	0.095254476523328	1.88566051628486E-02	7.93192031071661E-02	7.87646041516862E-02	 8.26992643240443E-02 
336	0.139524514958479	0.229353381593507	0.107296053995183	1.62095642779606E-02	8.07054810551192E-02	7.49763701384951E-02	7.08011805260343E-02	6.62959441361963E-02	9.48245141676201E-02	1.87887839220942E-02	8.06754127366108E-02	7.86292010197858E-02	 0.083023247273473 
337	0.137227447238536	0.229286082185955	0.107543432228907	1.50535090460828E-02	0.080286353294568	0.073061316421802	6.96041829588828E-02	6.49612753489238E-02	9.29363241507757E-02	1.81101167393382E-02	8.27172018031561E-02	7.76394770963853E-02	 8.08784348671146E-02 
338	0.136297752726771	0.229289053220112	0.107718271830578	0.014955468984443	8.09002369767279E-02	7.29735034761968E-02	6.92144192048463E-02	6.46460504306151E-02	9.35412337545264E-02	1.76854463217612E-02	8.49711764060677E-02	7.84154287887724E-02	 0.081216241151091 
339	0.136401770145623	0.228879811180898	0.107904617593062	1.55445773434179E-02	8.15681360106648E-02	7.37377763789195E-02	6.94326437462595E-02	6.50713733737436E-02	9.54416675719342E-02	1.77469612567061E-02	8.69627869242638E-02	8.04548986052039E-02	 8.31743445621453E-02 
340	0.135230079099142	0.226517778994458	0.107827637970726	1.45975264626178E-02	8.03584724994154E-02	7.25816403497793E-02	6.86096355377076E-02	0.064169313826655	9.38059205902597E-02	1.73776585342891E-02	8.78802123535208E-02	7.98088398902465E-02	 8.15863470555977E-02 
341	0.134417647265691	0.225287406724964	0.107705902639538	1.38945993715888E-02	7.94433187497133E-02	7.13678399411156E-02	6.75629579813155E-02	6.36820970542303E-02	0.092539632438359	1.69420072080161E-02	8.84830791945419E-02	7.91834706815979E-02	 7.98634462583398E-02 
